LST_MAM_median_C,valid_obs,LST_MAM_SD_C,ST_QA_median_K,NDVI_MAM_median,NDBI_MAM_median,NDMI_MAM_median,BSI_MAM_median,GHSL_built_local_fraction,WorldCover_2021,elevation_m,slope_deg,northness,eastness,distance_to_coast_m,distance_to_permanent_water_m,x_utm,y_utm,row,col,longitude,latitude,block1km_x,block1km_y,block1km_id,block2km_x,block2km_y,block2km_id,block3km_x,block3km_y,block3km_id,block5km_x,block5km_y,block5km_id,municipality
32.419537,42.0,6.20956,4.239315,0.81812304,-0.39248613,0.39248613,-0.33182412,0.0,10.0,44.0,4.0,0.70710677,-0.70710677,697.7822,219.54498,282015.0,672705.0,35,585,121.03038951478898,6.082351407641512,282,672,282_672,141,336,141_336,94,224,94_224,56,134,56_134,Patikul
31.219147,46.0,6.067263,4.308739,0.8280308,-0.36802796,0.36802796,-0.31689036,0.0,10.0,52.0,4.0,-0.8910065,-0.4539905,589.4065,189.73666,282315.0,672705.0,35,595,121.03309908991041,6.082361284079198,282,672,282_672,141,336,141_336,94,224,94_224,56,134,56_134,Patikul
30.806644,45.0,5.2224803,4.3799977,0.84567493,-0.39111662,0.39111662,-0.34269878,0.0,10.0,40.0,4.0,0.43837115,-0.89879405,512.6402,162.78821,282615.0,672705.0,35,605,121.0358086695109,6.082371146941768,282,672,282_672,141,336,141_336,94,224,94_224,56,134,56_134,Patikul
31.804228,43.0,5.5390635,4.5010962,0.79091287,-0.33573934,0.33573934,-0.2719138,0.0,10.0,31.0,4.0,0.70710677,0.70710677,436.80658,130.0,282915.0,672705.0,35,615,121.03851825358424,6.082380996229111,282,672,282_672,141,336,141_336,94,224,94_224,56,134,56_134,Patikul
32.49162,43.0,5.558909,4.6835184,0.8105003,-0.33204928,0.33204928,-0.2749881,0.0,10.0,23.0,4.0,0.43837115,-0.89879405,394.58838,120.0,283215.0,672705.0,35,625,121.04122784212429,6.082390831941118,283,672,283_672,141,336,141_336,94,224,94_224,56,134,56_134,Patikul
32.06634,47.0,6.345188,4.9695067,0.8439605,-0.4226698,0.4226698,-0.3664541,0.0,10.0,17.0,5.0,0.37460658,0.92718387,390.0,120.0,283515.0,672705.0,35,635,121.04393743512489,6.08240065407768,283,672,283_672,141,336,141_336,94,224,94_224,56,134,56_134,Patikul
33.69568,45.0,6.6237545,4.6655684,0.75876445,-0.3013689,0.3013689,-0.23384938,0.13,10.0,22.0,1.0,0.70710677,-0.70710677,456.94638,136.01471,283815.0,672705.0,35,645,121.04664703257987,6.082410462638684,283,672,283_672,141,336,141_336,94,224,94_224,56,134,56_134,Patikul
32.287663,46.0,6.103942,4.503439,0.801911,-0.38103786,0.38103786,-0.31376413,0.0,10.0,27.0,7.0,0.99026805,0.1391731,523.9275,145.6022,284115.0,672705.0,35,655,121.04935663448308,6.082420257624024,284,672,284_672,142,336,142_336,94,224,94_224,56,134,56_134,Patikul
32.626934,46.0,6.1090555,4.438749,0.73761797,-0.27885118,0.27885118,-0.21389727,0.0,10.0,24.0,5.0,0.98162717,0.190809,626.4184,192.35384,284415.0,672705.0,35,665,121.05206624082835,6.08243003903359,284,672,284_672,142,336,142_336,94,224,94_224,56,134,56_134,Patikul
32.403767,47.0,5.4010153,4.3566456,0.7575631,-0.320506,0.320506,-0.24722739,0.0,10.0,31.0,3.0,-0.309017,-0.95105654,740.9453,235.37204,284715.0,672705.0,35,675,121.05477585160952,6.082439806867274,284,672,284_672,142,336,142_336,94,224,94_224,56,134,56_134,Patikul
