x_utm,y_utm,municipality,WorldCover_2021,elevation_m,slope_deg,northness,eastness,distance_to_coast_m,block1km_id,block2km_id,block3km_id,block5km_id,MAM_LST_C,MAM_valid_obs,MAM_NDVI,MAM_NDBI,MAM_BSI,JJA_LST_C,JJA_valid_obs,JJA_NDVI,JJA_NDBI,JJA_BSI,DJF_LST_C,DJF_valid_obs,DJF_NDVI,DJF_NDBI,DJF_BSI,GHSL_built_fraction_30m_corrected
282915.0,669105.0,Patikul,10.0,167.0,1.0,1.0,0.0,3576.0454,282_669,141_334,94_223,56_133,28.603024,28.0,0.8292882,-0.39387715,-0.33884364,31.274206,25.0,0.8400063,-0.39068457,-0.33436128,28.327871,21.0,0.85321707,-0.42283806,-0.37024817,0.0
283215.0,669105.0,Patikul,10.0,164.0,6.0,0.309017,-0.95105654,3819.437,283_669,141_334,94_223,56_133,29.664318,27.0,0.8321559,-0.35374776,-0.29974154,31.081087,22.0,0.8605558,-0.41275477,-0.3701485,29.592539,21.0,0.8566758,-0.3887393,-0.34791374,0.0
283515.0,669105.0,Patikul,10.0,185.0,4.0,-0.2419219,0.9702957,3990.0,283_669,141_334,94_223,56_133,29.527597,29.0,0.8544188,-0.44965288,-0.39385617,29.913834,21.0,0.8652619,-0.48813528,-0.43309,27.945053,21.0,0.8636422,-0.4939596,-0.4363092,0.0
283815.0,669105.0,Patikul,10.0,187.0,3.0,0.70710677,-0.70710677,3999.125,283_669,141_334,94_223,56_133,29.20972,28.0,0.846078,-0.40781975,-0.35543492,30.853788,20.0,0.8680797,-0.43739194,-0.38592863,29.930923,21.0,0.86650926,-0.43047258,-0.38626575,0.0
284115.0,669105.0,Patikul,10.0,190.0,3.0,-0.5591929,-0.82903755,4030.5085,284_669,142_334,94_223,56_133,29.390877,30.0,0.8424035,-0.3876837,-0.34005028,31.118685,20.0,0.87123054,-0.43049318,-0.3875101,29.100346,22.0,0.8665141,-0.408001,-0.36637706,0.0
284415.0,669105.0,Patikul,10.0,202.0,4.0,0.2419219,-0.9702957,4083.7483,284_669,142_334,94_223,56_133,29.917252,27.0,0.8398001,-0.42698532,-0.36165938,31.014437,20.0,0.8547479,-0.4494912,-0.38915187,29.049074,24.0,0.8699102,-0.46981844,-0.41785833,0.0
284715.0,669105.0,Patikul,10.0,210.0,1.0,-0.70710677,-0.70710677,4158.0044,284_669,142_334,94_223,56_133,30.2112,25.0,0.8625722,-0.45016494,-0.39452213,30.66409,20.0,0.8774354,-0.46154368,-0.4103849,28.560297,19.0,0.8744191,-0.47578493,-0.4290963,0.0
285015.0,669105.0,Patikul,10.0,214.0,4.0,1.0,0.0,4154.8647,285_669,142_334,95_223,57_133,29.650646,24.0,0.8722755,-0.48411527,-0.43582794,30.821318,22.0,0.8837938,-0.48735332,-0.43908206,28.09032,24.0,0.88524085,-0.48286268,-0.43407944,0.0
285315.0,669105.0,Patikul,10.0,188.0,4.0,-0.8910065,-0.4539905,4089.3643,285_669,142_334,95_223,57_133,29.879654,23.0,0.8728176,-0.43924323,-0.39566207,30.792265,22.0,0.8829885,-0.46331823,-0.4171319,27.169163,23.0,0.894492,-0.46260017,-0.4241018,0.0
285615.0,669105.0,Patikul,10.0,193.0,1.0,-0.70710677,0.70710677,4034.8606,285_669,142_334,95_223,57_133,29.804457,23.0,0.87061983,-0.4037932,-0.3613456,30.788847,23.0,0.8853225,-0.42828628,-0.3933402,27.671612,21.0,0.8824718,-0.44955504,-0.40216818,0.0
285915.0,669105.0,Patikul,10.0,206.0,6.0,0.777146,-0.6293204,4001.2622,285_669,142_334,95_223,57_133,29.107182,25.0,0.8697962,-0.45567766,-0.40682036,30.484642,24.0,0.88754344,-0.47617155,-0.42867374,27.12473,19.0,0.88437766,-0.4574199,-0.41947815,0.0
286215.0,669105.0,Patikul,10.0,210.0,4.0,-0.43837115,-0.89879405,3990.0,286_669,143_334,95_223,57_133,27.31614,26.0,0.8268263,-0.37303042,-0.3155956,31.568155,23.0,0.8529931,-0.4097989,-0.36446425,29.117435,22.0,0.8614945,-0.41257706,-0.37142578,0.0
286515.0,669105.0,Patikul,10.0,202.0,11.0,0.9848077,-0.17364818,3999.125,286_669,143_334,95_223,57_133,27.517801,27.0,0.863941,-0.45177963,-0.4040244,31.773237,25.0,0.8852131,-0.47893274,-0.43932486,28.266348,20.0,0.8780251,-0.4653905,-0.4191825,0.0
286815.0,669105.0,Patikul,10.0,203.0,11.0,0.2419219,-0.9702957,4020.4478,286_669,143_334,95_223,57_133,27.634014,25.0,0.870321,-0.46124953,-0.40953845,30.717068,22.0,0.8840186,-0.47353828,-0.42663938,28.098866,19.0,0.8832665,-0.46057403,-0.41727504,0.0
287115.0,669105.0,Patikul,10.0,227.0,2.0,-1.0,1.2246469000000002e-16,4019.664,287_669,143_334,95_223,57_133,27.941635,25.0,0.82976776,-0.40904075,-0.35190517,30.376976,26.0,0.84678876,-0.44870076,-0.38419074,28.854248,20.0,0.8349424,-0.3818607,-0.3290703,0.0
